Year,County,Age,Total Population
2024,Brown,06 Years,363
2024,Brown,07 Years,392
2024,Brown,08 Years,419
2024,Brown,09 Years,426
2024,Brown,10 Years,479
2024,Brown,11 Years,464
2024,Brown,12 Years,450
2024,Brown,13 Years,469
2024,Brown,14 Years,518
2024,Brown,15 Years,554
2024,Brown,16 Years,609
2024,Brown,17 Years,600
2024,Brown,18 Years,555
2024,Brown,19 Years,509
2024,Brown,20 Years,595
2024,Brown,21 Years,590
2024,Brown,22 Years,565
2024,Brown,23 Years,569
2024,Brown,24 Years,523
2024,Brown,25 Years,493
2024,Brown,26 Years,388
2024,Brown,27 Years,416
2024,Brown,28 Years,359
2024,Brown,29 Years,463
2024,Brown,30 Years,373
2024,Brown,31 Years,437
2024,Brown,32 Years,405
2024,Brown,33 Years,410
2024,Brown,34 Years,480
2024,Brown,35 Years,449
2024,Brown,36 Years,420
2024,Brown,37 Years,446
2024,Brown,38 Years,444
2024,Brown,39 Years,510
2024,Brown,40 Years,460
2024,Brown,41 Years,412
2024,Brown,42 Years,359
2024,Brown,43 Years,379
2024,Brown,44 Years,509
2024,Brown,45 Years,453
2024,Brown,46 Years,416
2024,Brown,47 Years,434
2024,Brown,48 Years,322
2024,Brown,49 Years,518
2024,Brown,50 Years,392
2024,Brown,51 Years,410
2024,Brown,52 Years,445
2024,Brown,53 Years,425
2024,Brown,54 Years,447
2024,Brown,55 Years,398
2024,Brown,56 Years,438
2024,Brown,57 Years,457
2024,Brown,58 Years,436
2024,Brown,59 Years,500
2024,Brown,60 Years,545
2024,Brown,61 Years,547
2024,Brown,62 Years,531
2024,Brown,63 Years,462
2024,Brown,64 Years,583
2024,Brown,65 Years,487
2024,Brown,66 Years,464
2024,Brown,67 Years,491
2024,Brown,68 Years,528
2024,Brown,69 Years,528
2024,Brown,70 Years,457
2024,Brown,71 Years,479
2024,Brown,72 Years,382
2024,Brown,73 Years,477
2024,Brown,74 Years,412
2024,Brown,75 Years,454
2024,Brown,76 Years,428
2024,Brown,77 Years,459
2024,Brown,78 Years,267
2024,Brown,79 Years,259
2024,Brown,80 Years,281
2024,Brown,81 Years,280
2024,Brown,82 Years,230
2024,Brown,83 Years,189
2024,Brown,84 Years,173
2024,Brown,85 Years,153
2024,Brown,86 Years,142
2024,Brown,87 Years,153
2024,Brown,88 Years,112
2024,Brown,89 Years,61
2024,Brown,90 Years,70
2024,Brown,91 Years,61
2024,Brown,92 Years,34
2024,Brown,93 Years,69
2024,Brown,94 Years,8
2024,Brown,95+ Years,140
2024,Carson,< 01 Year,57
2024,Carson,01 Years,53
2024,Carson,02 Years,61
2024,Carson,03 Years,51
2024,Carson,04 Years,40
2024,Carson,05 Years,58
2024,Carson,06 Years,44
2024,Carson,07 Years,76
2024,Carson,08 Years,67
2024,Carson,09 Years,75
2024,Carson,10 Years,79
2024,Carson,11 Years,69
2024,Carson,12 Years,79
2024,Carson,13 Years,92
2024,Carson,14 Years,80
2024,Carson,15 Years,86
2024,Carson,16 Years,99
2024,Carson,17 Years,83
2024,Carson,18 Years,84
2024,Carson,19 Years,94
2024,Carson,20 Years,96
2024,Carson,21 Years,88
2024,Carson,22 Years,75
2024,Carson,23 Years,53
2024,Carson,24 Years,36
2024,Carson,25 Years,48
2024,Carson,26 Years,48
2024,Carson,27 Years,23
2024,Carson,28 Years,78
2024,Carson,29 Years,36
2024,Carson,30 Years,53
2024,Carson,31 Years,69
2024,Carson,32 Years,55
2024,Carson,33 Years,63
2024,Carson,34 Years,52
2024,Carson,35 Years,61
2024,Carson,36 Years,74
2024,Carson,37 Years,70
2024,Carson,38 Years,68
2024,Carson,39 Years,73
2024,Carson,40 Years,44
2024,Carson,41 Years,68
2024,Carson,42 Years,82
2024,Carson,43 Years,72
2024,Carson,44 Years,36
2024,Carson,45 Years,68
2024,Carson,46 Years,69
2024,Carson,47 Years,74
2024,Carson,48 Years,76
2024,Carson,49 Years,79
2024,Carson,50 Years,99
2024,Carson,51 Years,60
2024,Carson,52 Years,53
2024,Carson,53 Years,70
2024,Carson,54 Years,68
2024,Carson,55 Years,69
2024,Carson,56 Years,75
2024,Carson,57 Years,63
2024,Carson,58 Years,52
2024,Carson,59 Years,74
2024,Carson,60 Years,81
2024,Carson,61 Years,74
2024,Carson,62 Years,108
2024,Carson,63 Years,76
2024,Carson,64 Years,116
2024,Carson,65 Years,76
2024,Carson,66 Years,123
2024,Carson,67 Years,76
2024,Carson,68 Years,75
2024,Carson,69 Years,84
2024,Carson,70 Years,82
2024,Carson,71 Years,57
2024,Carson,72 Years,102
2024,Carson,73 Years,36
2024,Carson,74 Years,34
2024,Carson,75 Years,64
2024,Carson,76 Years,56
2024,Carson,77 Years,67
2024,Carson,78 Years,33
