Year,Area Name,Age,Total Population
2019,Borden,54 Years,6
2019,Borden,55 Years,4
2019,Borden,56 Years,12
2019,Borden,57 Years,9
2019,Borden,58 Years,8
2019,Borden,59 Years,10
2019,Borden,60 Years,11
2019,Borden,61 Years,9
2019,Borden,62 Years,2
2019,Borden,63 Years,17
2019,Borden,64 Years,11
2019,Borden,65 Years,13
2019,Borden,66 Years,4
2019,Borden,67 Years,5
2019,Borden,68 Years,3
2019,Borden,69 Years,19
2019,Borden,70 Years,10
2019,Borden,71 Years,3
2019,Borden,72 Years,6
2019,Borden,73 Years,6
2019,Borden,74 Years,1
2019,Borden,75 Years,10
2019,Borden,76 Years,5
2019,Borden,77 Years,7
2019,Borden,78 Years,1
2019,Borden,79 Years,4
2019,Borden,80 Years,6
2019,Borden,81 Years,5
2019,Borden,82 Years,2
2019,Borden,83 Years,7
2019,Borden,84 Years,2
2019,Borden,85 Years,1
2019,Borden,86 Years,2
2019,Borden,87 Years,0
2019,Borden,88 Years,1
2019,Borden,89 Years,1
2019,Borden,90 Years,6
2019,Borden,91 Years,2
2019,Borden,92 Years,2
2019,Borden,93 Years,0
2019,Borden,94 Years,0
2019,Borden,95+ Years,1
2019,Brewster,< 01 Year,78
2019,Brewster,01 Years,75
2019,Brewster,02 Years,79
2019,Brewster,03 Years,95
2019,Brewster,04 Years,82
2019,Brewster,05 Years,119
2019,Brewster,06 Years,84
2019,Brewster,07 Years,102
2019,Brewster,08 Years,73
2019,Brewster,09 Years,70
2019,Brewster,10 Years,118
2019,Brewster,11 Years,104
2019,Brewster,12 Years,116
2019,Brewster,13 Years,102
2019,Brewster,14 Years,111
2019,Brewster,15 Years,98
2019,Brewster,16 Years,93
2019,Brewster,17 Years,101
2019,Brewster,18 Years,166
2019,Brewster,19 Years,246
2019,Brewster,20 Years,155
2019,Brewster,21 Years,144
2019,Brewster,22 Years,147
2019,Brewster,23 Years,119
2019,Brewster,24 Years,173
2019,Brewster,25 Years,115
2019,Brewster,26 Years,86
2019,Brewster,27 Years,81
2019,Brewster,28 Years,113
2019,Brewster,29 Years,112
2019,Brewster,30 Years,84
2019,Brewster,31 Years,101
2019,Brewster,32 Years,109
2019,Brewster,33 Years,137
2019,Brewster,34 Years,107
2019,Brewster,35 Years,147
2019,Brewster,36 Years,150
2019,Brewster,37 Years,111
2019,Brewster,38 Years,106
2019,Brewster,39 Years,76
2019,Brewster,40 Years,114
2019,Brewster,41 Years,104
2019,Brewster,42 Years,128
2019,Brewster,43 Years,93
2019,Brewster,44 Years,87
2019,Brewster,45 Years,123
2019,Brewster,46 Years,75
2019,Brewster,47 Years,113
2019,Brewster,48 Years,105
2019,Brewster,49 Years,102
2019,Brewster,50 Years,124
2019,Brewster,51 Years,107
2019,Brewster,52 Years,91
2019,Brewster,53 Years,107
2019,Brewster,54 Years,110
2019,Brewster,55 Years,89
2019,Brewster,56 Years,104
2019,Brewster,57 Years,128
2019,Brewster,58 Years,122
2019,Brewster,59 Years,165
2019,Brewster,60 Years,164
2019,Brewster,61 Years,137
2019,Brewster,62 Years,184
2019,Brewster,63 Years,165
2019,Brewster,64 Years,92
2019,Brewster,65 Years,129
2019,Brewster,66 Years,162
2019,Brewster,67 Years,133
2019,Brewster,68 Years,150
2019,Brewster,69 Years,136
2019,Brewster,70 Years,137
2019,Brewster,71 Years,139
2019,Brewster,72 Years,116
2019,Brewster,73 Years,153
2019,Brewster,74 Years,93
2019,Brewster,75 Years,113
2019,Brewster,76 Years,69
2019,Brewster,77 Years,72
2019,Brewster,78 Years,55
2019,Brewster,79 Years,90
2019,Brewster,80 Years,59
2019,Brewster,81 Years,47
2019,Brewster,82 Years,33
2019,Brewster,83 Years,37
2019,Brewster,84 Years,36
2019,Brewster,85 Years,30
2019,Brewster,86 Years,27
2019,Brewster,87 Years,16
2019,Brewster,88 Years,14
2019,Brewster,89 Years,19
2019,Brewster,90 Years,18
2019,Brewster,91 Years,10
2019,Brewster,92 Years,1
2019,Brewster,93 Years,7
2019,Brewster,94 Years,13
2019,Brewster,95+ Years,14
2019,Brown,< 01 Year,388
2019,Brown,01 Years,355
2019,Brown,02 Years,350
2019,Brown,03 Years,376
2019,Brown,04 Years,406
2019,Brown,05 Years,413
2019,Brown,06 Years,463
2019,Brown,07 Years,451
2019,Brown,08 Years,436
2019,Brown,09 Years,454
2019,Brown,10 Years,503
2019,Brown,11 Years,491
2019,Brown,12 Years,536
2019,Brown,13 Years,527
2019,Brown,14 Years,484
2019,Brown,15 Years,484
2019,Brown,16 Years,552
2019,Brown,17 Years,548
2019,Brown,18 Years,539
2019,Brown,19 Years,539
2019,Brown,20 Years,526
2019,Brown,21 Years,530
2019,Brown,22 Years,406
2019,Brown,23 Years,437
2019,Brown,24 Years,373
2019,Brown,25 Years,442
2019,Brown,26 Years,340
2019,Brown,27 Years,417
2019,Brown,28 Years,386
2019,Brown,29 Years,392
2019,Brown,30 Years,467
2019,Brown,31 Years,426
2019,Brown,32 Years,398
2019,Brown,33 Years,428
2019,Brown,34 Years,443
2019,Brown,35 Years,509
2019,Brown,36 Years,460
2019,Brown,37 Years,416
2019,Brown,38 Years,350
2019,Brown,39 Years,385
2019,Brown,40 Years,517
2019,Brown,41 Years,452
2019,Brown,42 Years,420
2019,Brown,43 Years,439
2019,Brown,44 Years,318
2019,Brown,45 Years,520
2019,Brown,46 Years,403
2019,Brown,47 Years,422
2019,Brown,48 Years,462
2019,Brown,49 Years,440
2019,Brown,50 Years,457
2019,Brown,51 Years,409
2019,Brown,52 Years,447
2019,Brown,53 Years,464
2019,Brown,54 Years,452
2019,Brown,55 Years,521
2019,Brown,56 Years,569
2019,Brown,57 Years,574
2019,Brown,58 Years,565
2019,Brown,59 Years,500
2019,Brown,60 Years,615
2019,Brown,61 Years,517
2019,Brown,62 Years,496
2019,Brown,63 Years,522
2019,Brown,64 Years,577
2019,Brown,65 Years,582
2019,Brown,66 Years,501
2019,Brown,67 Years,526
2019,Brown,68 Years,432
2019,Brown,69 Years,527
2019,Brown,70 Years,475
2019,Brown,71 Years,510
2019,Brown,72 Years,477
2019,Brown,73 Years,503
2019,Brown,74 Years,315
2019,Brown,75 Years,329
2019,Brown,76 Years,348
2019,Brown,77 Years,353
2019,Brown,78 Years,301
2019,Brown,79 Years,256
2019,Brown,80 Years,243
2019,Brown,81 Years,209
2019,Brown,82 Years,177
2019,Brown,83 Years,191
2019,Brown,84 Years,154
2019,Brown,85 Years,105
2019,Brown,86 Years,128
2019,Brown,87 Years,108
2019,Brown,88 Years,62
2019,Brown,89 Years,106
2019,Brown,90 Years,31
2019,Brown,91 Years,65
2019,Brown,92 Years,37
2019,Brown,93 Years,55
2019,Brown,94 Years,19
2019,Brown,95+ Years,66
2019,Carson,< 01 Year,42
2019,Carson,01 Years,58
2019,Carson,02 Years,47
2019,Carson,03 Years,77
2019,Carson,04 Years,67
2019,Carson,05 Years,75
2019,Carson,06 Years,79
2019,Carson,07 Years,70
2019,Carson,08 Years,79
2019,Carson,09 Years,92
2019,Carson,10 Years,83
2019,Carson,11 Years,86
2019,Carson,12 Years,100
2019,Carson,13 Years,84
2019,Carson,14 Years,86
2019,Carson,15 Years,95
2019,Carson,16 Years,98
2019,Carson,17 Years,88
2019,Carson,18 Years,77
2019,Carson,19 Years,55
2019,Carson,20 Years,36
2019,Carson,21 Years,51
2019,Carson,22 Years,50
2019,Carson,23 Years,21
2019,Carson,24 Years,80
2019,Carson,25 Years,38
2019,Carson,26 Years,54
2019,Carson,27 Years,71
2019,Carson,28 Years,53
2019,Carson,29 Years,64
2019,Carson,30 Years,52
2019,Carson,31 Years,64
2019,Carson,32 Years,76
2019,Carson,33 Years,72
2019,Carson,34 Years,70
2019,Carson,35 Years,75
2019,Carson,36 Years,45
2019,Carson,37 Years,68
2019,Carson,38 Years,84
2019,Carson,39 Years,73
2019,Carson,40 Years,41
2019,Carson,41 Years,71
2019,Carson,42 Years,73
2019,Carson,43 Years,76
2019,Carson,44 Years,78
2019,Carson,45 Years,80
2019,Carson,46 Years,99
2019,Carson,47 Years,59
2019,Carson,48 Years,55
2019,Carson,49 Years,69
2019,Carson,50 Years,68
2019,Carson,51 Years,71
2019,Carson,52 Years,76
2019,Carson,53 Years,65
2019,Carson,54 Years,55
2019,Carson,55 Years,79
2019,Carson,56 Years,84
2019,Carson,57 Years,76
2019,Carson,58 Years,110
2019,Carson,59 Years,77
2019,Carson,60 Years,117
2019,Carson,61 Years,75
2019,Carson,62 Years,125
2019,Carson,63 Years,80
2019,Carson,64 Years,83
2019,Carson,65 Years,92
2019,Carson,66 Years,89
2019,Carson,67 Years,67
2019,Carson,68 Years,109
2019,Carson,69 Years,40
2019,Carson,70 Years,38
2019,Carson,71 Years,70
2019,Carson,72 Years,63
2019,Carson,73 Years,73
2019,Carson,74 Years,38
2019,Carson,75 Years,31
2019,Carson,76 Years,67
2019,Carson,77 Years,43
2019,Carson,78 Years,38
2019,Carson,79 Years,18
2019,Carson,80 Years,31
2019,Carson,81 Years,30
2019,Carson,82 Years,50
2019,Carson,83 Years,17
2019,Carson,84 Years,13
2019,Carson,85 Years,13
2019,Carson,86 Years,13
2019,Carson,87 Years,22
2019,Carson,88 Years,6
2019,Carson,89 Years,17
2019,Carson,90 Years,9
2019,Carson,91 Years,6
2019,Carson,92 Years,4
2019,Carson,93 Years,2
2019,Carson,94 Years,3
2019,Carson,95+ Years,18
2019,Cochran,< 01 Year,35
2019,Cochran,01 Years,40
2019,Cochran,02 Years,27
2019,Cochran,03 Years,44
2019,Cochran,04 Years,39
2019,Cochran,05 Years,41
2019,Cochran,06 Years,50
2019,Cochran,07 Years,23
2019,Cochran,08 Years,30
2019,Cochran,09 Years,32
2019,Cochran,10 Years,58
2019,Cochran,11 Years,36
2019,Cochran,12 Years,39
2019,Cochran,13 Years,44
2019,Cochran,14 Years,47
2019,Cochran,15 Years,48
2019,Cochran,16 Years,46
2019,Cochran,17 Years,51
2019,Cochran,18 Years,28
2019,Cochran,19 Years,39
2019,Cochran,20 Years,26
2019,Cochran,21 Years,45
2019,Cochran,22 Years,11
2019,Cochran,23 Years,9
2019,Cochran,24 Years,49
2019,Cochran,25 Years,18
2019,Cochran,26 Years,39
2019,Cochran,27 Years,27
2019,Cochran,28 Years,19
2019,Cochran,29 Years,33
2019,Cochran,30 Years,41
2019,Cochran,31 Years,40
2019,Cochran,32 Years,23
2019,Cochran,33 Years,18
2019,Cochran,34 Years,23
2019,Cochran,35 Years,54
2019,Cochran,36 Years,40
2019,Cochran,37 Years,27
2019,Cochran,38 Years,37
2019,Cochran,39 Years,24
2019,Cochran,40 Years,24
2019,Cochran,41 Years,19
2019,Cochran,42 Years,45
2019,Cochran,43 Years,16
2019,Cochran,44 Years,16
2019,Cochran,45 Years,23
2019,Cochran,46 Years,20
2019,Cochran,47 Years,24
2019,Cochran,48 Years,22
2019,Cochran,49 Years,41
2019,Cochran,50 Years,26
2019,Cochran,51 Years,24
2019,Cochran,52 Years,42
2019,Cochran,53 Years,19
2019,Cochran,54 Years,26
2019,Cochran,55 Years,45
2019,Cochran,56 Years,31
2019,Cochran,57 Years,23
2019,Cochran,58 Years,52
2019,Cochran,59 Years,23
2019,Cochran,60 Years,31
2019,Cochran,61 Years,22
2019,Cochran,62 Years,35
2019,Cochran,63 Years,25
2019,Cochran,64 Years,33
2019,Cochran,65 Years,18
2019,Cochran,66 Years,52
2019,Cochran,67 Years,30
2019,Cochran,68 Years,26
2019,Cochran,69 Years,20
2019,Cochran,70 Years,36
2019,Cochran,71 Years,12
2019,Cochran,72 Years,25
2019,Cochran,73 Years,13
2019,Cochran,74 Years,22
2019,Cochran,75 Years,16
2019,Cochran,76 Years,10
2019,Cochran,77 Years,21
2019,Cochran,78 Years,11
2019,Cochran,79 Years,15
2019,Cochran,80 Years,17
2019,Cochran,81 Years,12
2019,Cochran,82 Years,7
2019,Cochran,83 Years,9
2019,Cochran,84 Years,15
2019,Cochran,85 Years,12
2019,Cochran,86 Years,12
2019,Cochran,87 Years,3
2019,Cochran,88 Years,6
2019,Cochran,89 Years,3
2019,Cochran,90 Years,4
2019,Cochran,91 Years,0
2019,Cochran,92 Years,6
2019,Cochran,93 Years,0
2019,Cochran,94 Years,2
2019,Cochran,95+ Years,5
2019,Collin,< 01 Year,"11,235"
2019,Collin,01 Years,"11,675"
2019,Collin,02 Years,"12,586"
2019,Collin,03 Years,"13,386"
2019,Collin,04 Years,"14,258"
2019,Collin,05 Years,"14,634"
2019,Collin,06 Years,"15,045"
2019,Collin,07 Years,"15,619"
2019,Collin,08 Years,"15,829"
2019,Collin,09 Years,"16,047"
2019,Collin,10 Years,"16,556"
2019,Collin,11 Years,"16,881"
2019,Collin,12 Years,"17,738"
2019,Collin,13 Years,"17,328"
2019,Collin,14 Years,"17,246"
2019,Collin,15 Years,"17,638"
2019,Collin,16 Years,"17,327"
2019,Collin,17 Years,"16,599"
2019,Collin,18 Years,"16,168"
2019,Collin,19 Years,"14,834"
2019,Collin,20 Years,"13,742"
2019,Collin,21 Years,"12,992"
2019,Collin,22 Years,"12,662"
2019,Collin,23 Years,"12,441"
2019,Collin,24 Years,"12,529"
2019,Collin,25 Years,"13,226"
2019,Collin,26 Years,"11,973"
2019,Collin,27 Years,"12,629"
2019,Collin,28 Years,"12,949"
2019,Collin,29 Years,"13,131"
2019,Collin,30 Years,"14,556"
2019,Collin,31 Years,"13,166"
2019,Collin,32 Years,"14,137"
2019,Collin,33 Years,"14,005"
2019,Collin,34 Years,"14,976"
2019,Collin,35 Years,"16,288"
2019,Collin,36 Years,"15,603"
2019,Collin,37 Years,"15,978"
2019,Collin,38 Years,"16,285"
2019,Collin,39 Years,"16,203"
2019,Collin,40 Years,"17,664"
2019,Collin,41 Years,"15,992"
